source_id,ra,dec,pf,p1_o,best_classification,phot_g_mean_mag
4476889573662889856,274.941911817243,5.843327159330003,0.586129988379275,,RRab,15.935213
4476996496865060096,274.8859611709576,6.420367470936013,,0.3413448970738353,RRc,17.907543
4477048693612540928,276.05644507260143,6.5244836519055,0.6246373724282651,,RRab,16.579477
4284069456459034496,276.94406958960406,3.867765467635332,,0.3619962169013333,RRc,16.92666
4277212730133273728,277.1797994186851,3.0203132197315323,0.6233152108630826,,RRab,18.632683
4277594776070680960,273.3358407965083,2.052791046251271,0.4730496454019913,,RRab,15.91945
4277773687229275776,274.348414176469,2.958366825028545,0.8405066998643932,,RRab,16.138617
4477369991534053632,277.2017727856839,7.066835591819352,0.6776702579635944,,RRab,18.319767
4477374419633614208,277.09195167735817,7.142670901506408,0.6650209776482876,,RRab,18.642181
4477833951072021504,274.0213598230306,6.899515579825214,,0.2717313953265321,RRc,19.1164
4470014671045705728,274.12254693571646,3.658709888096363,0.5887230585922326,,RRab,20.2523
4470949904463361408,271.3319149292544,3.6490760725083744,0.5656719743601379,,RRab,17.263067
4471067036816264832,271.66078933633594,4.5132912422430485,0.6196706463845819,,RRab,16.938799
4471190392570816128,271.8479084191081,4.992664978717459,0.37740081469371817,,RRab,20.093922
4471712523157760256,273.7156232420636,6.060063615679862,0.5880718228810399,,RRab,20.601448
4471943386241567488,273.0015979110591,6.205309810883215,0.5313309223682982,,RRab,17.15788
4472040246344711296,272.86176150042434,6.673736894905933,0.716866836531019,,RRab,15.939769
4472065706911799168,272.8034024799429,6.898150645209417,0.8125366743453206,,RRab,14.478158
4276022504502672896,272.16402004507415,1.6876521537896183,0.6126728993808941,,RRab,18.1308
4276074907403518976,273.3906304845996,1.8197057430421666,0.516019659531641,,RRab,14.865338
4470264397625862272,272.62449522083466,3.844246250619857,0.7009706573969701,,RRab,13.706702
4470391185064566400,274.089317526024,3.726583957446972,0.47764647965714674,,RRab,16.737244
4470523435700793856,274.08085138895956,4.635881747769551,0.6283687655218193,,RRab,17.416409
4470651838034408448,274.86535016069064,5.035468108112521,,0.2430664701617372,RRc,19.834448
4470822777738895104,274.3288099329003,5.109321836536117,,0.2814072175723494,RRc,17.201227
4481157701700005632,272.3474548441242,7.629511810627248,,0.32992842081642426,RRc,16.394632
4474979378361302400,270.98024743110585,6.52620117151332,0.4664285768223898,,RRab,18.18939
4475402479878879232,270.9963555360351,7.792102064729703,,0.33463306370619744,RRc,16.003044
4475422756422198784,271.2618213981158,7.9394608375636615,0.475534550597916,,RRab,20.76913
4276942314700648576,277.3856075058818,2.1308745003655916,0.5772589700832788,,RRab,18.266428
4277089241243791872,275.9766085625315,2.2391885024457476,,0.32328330019585083,RRc,18.173552
4477961150824384256,275.0958474656838,7.463800261979106,0.5877561071326878,,RRab,17.377792
4478307492683431168,275.9160545015614,7.646466132121811,,0.26649838671006953,RRc,20.500364
4478326150017525376,275.7280909275978,7.836611397637651,0.5779063542326243,,RRab,17.050966
4285022934887725312,277.51072079736565,6.3136124107935645,,0.26293489470741077,RRc,18.837149
4278127214586951680,276.16760622042676,3.9014584358606346,0.6039185194324329,,RRab,16.747936
4278128515947001472,276.1267938512694,3.9619418589791664,0.540539710697428,,RRab,16.52624
4278192906089880576,275.08674120164994,3.5425179396853586,0.5850369124885739,,RRab,18.891718
4278282211343714688,275.6683695586806,3.7104197243662487,0.5902816004934236,,RRab,20.485317
4468170068483944320,271.72123701495286,1.5372127144305787,,0.4877759278068365,RRc,19.984898
4468252944186407040,271.50202253890444,2.0609410979424925,0.5295169807382927,,RRab,15.069848
4468316337890609280,272.47206499259323,2.260283461554958,0.5497208221580713,,RRab,19.952927
4468393028839130752,272.36068754155735,2.72272122448999,0.4977983958517454,,RRab,18.235939
4277418643746148608,274.0521923504528,2.0439955246021,0.5019463601593531,,RRab,17.79528
4283228330045805184,277.4180780969674,3.313783810058422,,0.22719173612925772,RRc,20.103838
4468605303298258048,271.8735072444134,2.995792117703095,0.6332582131366316,,RRab,15.930135
4468662512264341632,271.4462050927424,3.074190172134886,0.6386252736057108,,RRab,17.40238
4477662873940541312,276.84913874648316,7.9355207708945095,,0.3536286478564943,RRc,15.489212
4477718845946264448,274.29748357389866,6.303667369637651,0.820658690658812,,RRab,14.472403
